District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Radio_Transistor,Households_with_Scooter_Motorcycle_Moped,Households_with_Telephone_Mobile_Phone_Landline_only,Households_with_Telephone_Mobile_Phone_Mobile_only,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Households_with_Television,Households_with_Telephone_Mobile_Phone,Households_with_Telephone_Mobile_Phone_Both,Condition_of_occupied_census_houses_Dilapidated_Households,Households_with_separate_kitchen_Cooking_inside_house,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Ownership_Owned_Households,Ownership_Rented_Households,Type_of_bathing_facility_Enclosure_without_roof_Households,Type_of_fuel_used_for_cooking_Any_other_Households,Type_of_latrine_facility_Pit_latrine_Households,Type_of_latrine_facility_Other_latrine_Households,Type_of_latrine_facility_Night_soil_disposed_into_open_drain_Households,Type_of_latrine_facility_Flush_pour_flush_latrine_connected_to_other_system_Households,Not_having_bathing_facility_within_the_premises_Total_Households,Not_having_latrine_facility_within_the_premises_Alternative_source_Open_Households,Main_source_of_drinking_water_Un_covered_well_Households,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Main_source_of_drinking_water_Spring_Households,Main_source_of_drinking_water_River_Canal_Households,Main_source_of_drinking_water_Other_sources_Households,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Main_source_of_drinking_water_Tapwater_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_1_to_2_persons,Household_size_3_persons_Households,Household_size_3_to_5_persons_Households,Household_size_4_persons_Households,Household_size_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_persons_and_above_Households,Location_of_drinking_water_source_Away_Households,Married_couples_1_Households,Married_couples_2_Households,Married_couples_3_Households,Married_couples_3_or_more_Households,Married_couples_4_Households,Married_couples_5__Households,Married_couples_None_Households,Power_Parity_Less_than_Rs_45000,Power_Parity_Rs_45000_90000,Power_Parity_Rs_90000_150000,Power_Parity_Rs_45000_150000,Power_Parity_Rs_150000_240000,Power_Parity_Rs_240000_330000,Power_Parity_Rs_150000_330000,Power_Parity_Rs_330000_425000,Power_Parity_Rs_425000_545000,Power_Parity_Rs_330000_545000,Power_Parity_Above_Rs_545000,Total_Power_Parity
1,JAMMU AND KASHMIR,Kupwara,870354,474190,396164,439654,282823,156831,1048,1046,2,70352,36913,33439,229064,190899,38165,123837,105227,641290,34680,56759,7946,129679,37128,823286,1700,5600,66,39,13,2522,15828,83071,762,5256,158438,23226,181664,60616,101642,99947,74948,39709,21751,6402,405015,289765,694780,600759,178435,89679,1481,3019,2988,59480,1808,1445,53437,495,26828,56495,1613,8463,104172,66361,54335,104807,618,3667,167,9791,21902,2269,10919,40416,44123,11127,5030,1902,24776,6597,34882,37849,22747,1607,50339,2066,911,4036,4947,6396,31982,10700,14886,42727,27121,46181,80569,14618,2218,2622,330,74,8968,259,494,94,588,71,101,172,74,10,84,15,1119
2,JAMMU AND KASHMIR,Badgam,753745,398041,355704,335649,207741,127908,368,343,25,23912,12383,11529,214866,162578,52288,132003,82863,538879,55299,36630,29102,93835,10110,736054,1489,5559,47,6,2,478,15118,90190,1999,5892,160649,27190,187839,68336,80862,83141,66459,41367,27950,6857,374972,342646,717618,503223,160933,88978,611,10013,5091,66814,5848,2509,65783,1655,54170,72197,3905,3733,88806,83385,83615,98036,609,3959,971,7013,43953,1779,9208,15834,10642,699,9864,453,13064,1052,14705,33558,51358,136,73303,2321,845,2173,3018,3743,23640,7998,11899,59121,13440,14303,71441,15255,2962,3493,452,79,9030,201,436,126,562,72,89,161,96,28,124,18,1066
3,JAMMU AND KASHMIR,Leh(Ladakh),133487,78971,54516,93770,62834,30936,488,444,44,95857,47543,48314,75079,53265,21814,57125,17954,58408,20869,1645,1020,51545,22882,19057,658,1092,88635,103,54,1006,13645,17250,574,2150,36920,17474,54394,10452,15181,17900,16265,8923,6197,575,75493,32637,108130,70703,41515,21019,250,609,4271,15210,1289,2646,6331,971,13597,13836,4859,371,20134,10304,18780,19387,893,920,1,14980,2117,53,695,10473,1781,64,5991,620,6115,1565,8355,10962,3031,55,6254,135,1630,1483,3113,2302,10528,4422,3804,5378,1758,6784,12742,3492,716,835,87,32,3708,33,76,46,122,15,22,37,20,14,34,17,242
4,JAMMU AND KASHMIR,Kargil,140802,77785,63017,86236,56301,29935,18,12,6,122336,62652,59684,51873,39839,12034,28941,22932,88929,8266,3763,1222,38622,10341,108239,604,1171,20126,28,4,289,3285,15824,235,1005,40370,7774,48144,12732,19083,20874,16938,9826,3077,408,82938,39854,122792,87532,35561,17488,221,488,1847,10895,652,899,7733,249,8008,10562,1930,575,17751,11887,17649,16646,1419,330,376,1704,4732,37,9610,6325,482,1,3289,323,2641,907,4068,9218,1963,197,10769,19,689,834,1523,983,4991,1652,2356,6832,4866,7031,10366,3835,1252,1643,308,83,2368,39,87,27,114,12,18,30,19,3,22,7,214
5,JAMMU AND KASHMIR,Punch,476835,251899,224936,261724,163333,98391,556,406,150,176101,90274,85827,161393,117677,43716,73247,88146,315442,54264,31583,3930,71616,32604,431279,958,11188,83,10,2,711,13160,62900,346,3342,132139,15269,147408,55762,72024,69219,46062,29517,13962,1884,288430,164044,452474,304979,109818,61334,704,846,1731,37412,2407,1908,31773,276,16022,36358,2677,2047,78572,19789,16586,87711,762,3421,28,532,971,338,1174,69089,70470,17702,4036,12448,1351,5351,19458,33146,17078,308,43697,234,1531,7435,8966,10664,44517,15825,18028,31443,3952,38654,70995,9180,1148,1250,87,15,7453,117,268,78,346,35,50,85,59,8,67,12,629
6,JAMMU AND KASHMIR,Rajouri,642415,345351,297064,364109,224469,139640,48157,25170,22987,232815,121374,111441,290912,184752,106160,130377,160535,351503,136527,24016,4656,125713,221880,402879,983,15513,189,26,3,942,23946,96012,673,6219,196070,17508,213578,70996,91859,108785,65921,35804,18576,3036,394977,242306,637283,404903,153165,83319,1028,2203,3128,48002,7261,2542,60010,902,34209,65569,3017,3254,88623,22470,17778,121447,1669,4487,29,762,1119,864,1259,101530,104506,17991,6716,37100,2171,9574,49303,40993,18838,458,39628,269,2107,12777,14884,18069,70033,25803,26161,35702,3381,64169,103780,8246,710,781,55,16,11193,135,323,120,443,42,58,100,72,22,94,15,786
7,JAMMU AND KASHMIR,Kathua,616435,326109,290326,389204,228499,160705,141224,74644,66580,53307,27693,25614,200431,161548,38883,142847,57584,416004,69533,21566,3952,105380,540063,64234,1828,9551,24,16,2,717,32772,109422,1443,6112,181374,33473,214847,69396,82715,106411,91522,47694,24330,4504,426572,181297,607869,357864,160123,97684,764,17726,4687,26172,23014,3065,78220,2732,66944,88964,7679,4036,94279,47372,26033,114949,2179,18841,20,1994,936,729,1615,70464,90118,8616,31020,8978,860,5595,16204,36594,52019,771,61227,3438,2476,7394,9870,12854,67133,26670,27609,33057,7776,29223,87230,15954,3596,4489,752,141,10163,139,340,174,514,54,69,123,78,52,130,28,936
8,JAMMU AND KASHMIR,Baramula,1008039,534733,473306,545149,337170,207979,1476,1451,25,37705,20237,17468,304200,249581,54619,187959,116241,703839,57495,62246,15084,169375,30621,959185,1497,14770,140,29,7,1790,33022,138180,3698,10645,210543,48932,259475,76778,117000,137510,107837,57932,48285,9708,555050,350119,905169,636524,239659,130513,1343,13361,10075,89719,8145,4675,97257,3269,75137,107269,5337,7656,138439,121099,113281,144033,1100,4892,659,12600,45955,4803,13912,24891,28142,2813,4718,2185,14344,2618,20314,40787,78323,1167,113894,1556,1683,5806,7489,10413,55314,18929,25972,60195,22992,26880,104921,23218,4740,5655,746,169,12196,387,795,254,1049,155,190,345,177,78,255,64,2100
9,JAMMU AND KASHMIR,Bandipore,392232,207680,184552,185979,117058,68921,392,375,17,75374,39398,35976,149317,101380,47937,75173,74144,242915,28232,32882,20484,67719,8439,382006,572,555,44,17,2,597,8868,45469,985,3155,80521,17555,98076,34064,47240,48849,35630,18644,12721,2268,199416,163648,363064,252378,90465,48802,587,5645,2237,36389,2284,1853,31256,585,25399,34528,1419,3922,52461,43923,42035,55995,338,2029,72,5903,22164,1625,4992,12871,13219,723,2486,2679,11725,3000,18648,18295,18131,1244,33973,839,546,2019,2565,3938,20321,6910,9473,24079,9829,20368,40502,8908,1834,2272,371,67,5112,6,18,11,29,2,2,4,3,3,6,0,45
10,JAMMU AND KASHMIR,Srinagar,1236829,651124,585705,748584,431746,316838,1068,995,73,8935,5021,3914,407188,333151,74037,330547,76641,829641,12228,10408,20095,364457,42540,1177342,2746,12187,285,74,2,1653,138119,165403,16413,33831,4518,257721,262239,88911,173309,178723,176409,132727,121856,32114,904049,310225,1214274,693238,351561,190330,1700,44501,34586,129337,39804,12717,120553,22024,152945,157875,24605,3715,164293,164263,164002,160923,5135,2302,83,4430,39455,33799,8101,3185,2448,38,1563,55,669,317,1105,7457,157176,64,164426,692,2326,6626,8952,15425,94928,37998,41505,49622,13946,2815,117581,23234,6314,7640,1075,251,18993,251,427,668,1095,319,380,699,240,370,610,445,3099
11,JAMMU AND KASHMIR,Ganderbal,297446,158720,138726,143276,90581,52695,117,105,12,61070,32554,28516,100890,73305,27585,52949,47941,196556,15337,19312,7630,58611,5592,290581,406,486,25,8,4,344,10410,38487,878,2779,63788,13558,77346,25817,38735,38375,28247,15005,9633,2212,158024,116734,274758,194165,66945,35911,425,6005,2313,29047,2709,1997,24498,663,20350,27786,1291,3794,39831,33167,31492,42382,308,1879,174,3569,15127,207,3759,10082,10107,151,1433,1789,3097,497,5923,11294,25368,540,35518,569,325,1404,1729,2978,16301,5509,7814,21532,3687,6587,32518,6513,992,1103,92,19,3115,4,10,5,15,1,1,2,2,1,3,0,24
12,JAMMU AND KASHMIR,Pulwama,560440,293064,267376,293958,178326,115632,402,397,5,22607,11837,10770,188420,138428,49992,98306,90114,372020,49746,34080,10615,93979,13840,535159,1109,9440,35,6,18,833,16828,73629,1537,5293,147520,21703,169223,36201,54808,73991,67368,40931,31286,5897,310482,190369,500851,342601,137032,80111,696,5479,6164,51973,4551,1770,57529,1478,45967,65162,5863,3568,71921,61749,53836,80452,459,3940,680,5829,11679,664,4826,19492,25493,212,13347,660,8108,929,10127,19320,50893,430,56749,3413,705,2291,2996,5461,32942,11863,15618,31436,13867,11028,55081,15020,3099,3612,439,74,7528,213,430,119,549,71,96,167,84,24,108,32,1068
13,JAMMU AND KASHMIR,Shupiyan,266215,136480,129735,136500,80355,56145,43,43,0,21820,11311,10509,87721,63931,23790,54703,33018,178494,47424,10835,3395,26067,3116,262263,429,178,6,1,6,216,3727,35282,884,3440,75616,5272,80888,26468,29593,36939,28617,16501,10782,2010,150910,107053,257963,170086,60752,35158,219,1636,3634,30191,4656,1494,29737,730,19896,33786,2555,2392,39555,33535,25628,41503,265,1382,13,5798,1255,256,6424,8412,14426,217,3441,392,5395,967,6900,12986,19888,146,30968,778,315,1361,1676,3268,17620,6301,8051,17679,4972,9073,30863,6863,1332,1552,185,35,2669,119,218,39,257,33,47,80,29,6,35,9,500
14,JAMMU AND KASHMIR,Anantnag,1078692,559767,518925,545532,324417,221115,1826,1811,15,116006,60990,55016,389684,244032,145652,176800,212884,689008,140957,76364,16322,156041,13180,1057005,1449,6140,55,7,7,849,28984,114899,2712,8612,207067,70666,277733,73719,99059,129174,97121,52407,41570,9160,502210,337265,839475,704145,239988,133519,1040,6295,7846,81666,5541,3687,91482,2042,67166,102683,7514,6650,137410,98110,80917,140994,1149,5789,82,15704,23143,5495,11484,44877,51493,1024,12424,2531,19048,2564,25349,40538,71259,1206,103058,2010,1542,5158,6700,11464,58558,20510,26584,48155,29574,31190,105428,20950,3338,3880,432,110,12729,404,838,254,1092,151,191,342,181,68,249,57,2144
15,JAMMU AND KASHMIR,Kulgam,424483,217620,206863,209085,125052,84033,21,11,10,26525,13888,12637,159990,102317,57673,77812,82178,264493,69173,29928,6193,54696,4267,418076,460,1035,27,25,9,584,4301,47913,838,3542,95952,25178,121130,36066,47268,60470,45383,24214,18240,3190,234831,175199,410030,266858,99870,57253,502,1853,2421,42026,3318,1387,46828,557,25825,49605,1390,3194,66620,40973,31048,68472,405,2742,41,6826,7578,687,4904,28230,34785,354,3743,1846,11749,1937,15749,26440,23503,217,48856,640,785,3173,3958,6618,31875,11391,13866,27713,5657,19260,53444,9163,1330,1523,166,27,5073,3,9,8,17,1,1,2,2,2,4,0,26
16,JAMMU AND KASHMIR,Doda,409936,213641,196295,219083,138620,80463,53408,27209,26199,39216,20377,18839,151912,101144,50768,79377,72535,258024,69947,12199,1932,67834,187621,220614,472,422,21,22,42,722,7963,61831,596,3077,122267,11350,133617,43794,47350,62719,48359,31416,12647,1846,248131,163565,411696,263576,93189,52744,427,563,1804,24106,1550,1265,44395,497,19244,47031,1371,1308,76597,26716,23060,76189,1997,2424,4,1480,2368,2200,2539,51904,54409,2915,202,4545,978,2063,7847,35304,25054,261,66002,60,1782,6482,8264,9190,40819,14876,16753,25349,4188,18262,60875,8043,1127,1324,169,28,8378,247,467,99,566,75,102,177,74,19,93,19,1103
17,JAMMU AND KASHMIR,Ramban,283713,149132,134581,124065,82938,41127,13920,7168,6752,39772,20940,18832,87212,68476,18736,52051,35161,196501,41394,8810,2538,34470,81026,200516,414,753,43,3,252,706,3982,34243,417,2644,84281,5341,89622,33971,35284,35115,22591,13331,4923,1498,146713,141812,288525,188526,61604,33220,363,214,958,18397,612,1028,25175,145,8110,27216,1013,1143,51469,13135,10892,53377,455,1756,31,428,499,172,1225,41071,41793,3588,270,12201,1867,1721,16266,23687,12889,477,33094,42,1019,5364,6383,7205,26323,9250,9868,18350,3150,17630,44065,3547,321,358,29,8,6236,1,3,3,6,0,0,0,0,1,1,1,9
18,JAMMU AND KASHMIR,Kishtwar,230696,120165,110531,107506,68700,38806,14307,7322,6985,38149,19889,18260,82974,56779,26195,44718,38256,147722,39271,16296,1186,26221,93931,133225,277,450,2094,3,514,202,4118,24067,274,1651,72378,5993,78371,25022,25675,27745,19550,14521,5438,2529,120480,101166,221646,145931,53415,31084,266,439,850,16289,1533,497,16097,350,9281,17702,1108,1453,42978,12609,10761,43840,463,1120,1,1214,3071,1109,921,31908,33057,930,297,2412,3918,2179,8649,18814,10867,140,34280,82,1206,3893,5099,5167,22247,7971,9109,14790,2381,14836,33933,4233,664,789,111,14,5562,4,11,8,19,1,1,2,2,3,5,0,28
19,JAMMU AND KASHMIR,Udhampur,554985,296784,258201,322354,197543,124811,138569,72093,66476,56309,29142,27167,243672,163845,79827,152442,91230,311313,113020,11396,2641,116615,489044,59771,1962,3418,106,57,235,392,20008,73999,1214,5744,148664,34696,183360,58567,80129,86008,55024,29657,17345,4030,330760,194838,525598,339145,140785,74757,298,3948,3800,30146,8953,1459,56859,2075,37323,64858,6540,1832,67792,21542,18063,90329,2544,3121,21,479,350,298,796,72020,74546,9401,4742,21428,1825,5848,29883,36891,21585,782,47796,166,1758,4971,6729,8878,47101,17980,20243,31098,8634,35086,62914,15369,3544,4377,686,147,10902,218,492,171,663,87,107,194,122,43,165,37,1278
20,JAMMU AND KASHMIR,Reasi,314667,166461,148206,150542,93937,56605,37757,19657,18100,88365,46330,42035,144767,88755,56012,88462,56305,169900,96147,4009,534,44077,153898,156275,1208,3107,15,7,3,154,6552,31588,602,2849,95572,12261,107833,33411,40215,36184,24066,14064,4733,575,153248,143293,296541,203967,70767,39743,190,1340,1878,18452,3551,848,26081,734,13645,28783,1854,793,45425,11155,8334,52218,1415,2168,6,238,208,167,548,43637,45939,4765,1279,8665,809,3763,14067,24500,12843,830,33866,25,1042,3376,4418,5810,26231,9500,10921,19670,4473,17449,41179,7060,1089,1243,137,17,5310,2,5,5,10,1,1,2,1,1,2,1,17
21,JAMMU AND KASHMIR,Jammu,1529958,813821,716137,1137135,641916,495219,377991,197610,180381,69193,36323,32870,508622,417456,91166,410344,98278,1021336,68613,36873,10589,392547,1289240,107489,12104,114272,470,1987,321,4075,197168,294739,19905,46657,254566,248043,502609,135391,185962,253542,261852,159257,146501,30616,1173121,268279,1441400,816827,435895,275585,1651,68272,44063,76236,113156,20542,179925,32191,240478,241206,40739,12552,246479,231365,162522,274859,18255,70235,141,7537,6826,6356,7618,70651,134732,6884,117098,1716,671,3680,7748,46394,233123,1681,168693,8076,6386,20036,26422,39453,193158,81952,71753,68820,13616,22499,215803,40735,8759,10378,1376,243,35100,404,827,682,1509,281,382,663,282,271,553,398,3525
22,JAMMU AND KASHMIR,Samba,318898,169124,149774,228139,130312,97827,91835,47920,43915,17573,9188,8385,92526,81952,10574,74129,18397,226372,16894,6105,1520,68007,275311,22950,2306,17961,48,16,6,300,34063,61159,992,4465,94247,19989,114236,29138,41233,59931,61407,30503,14055,2600,238867,65643,304510,177277,88246,53022,353,13653,4093,12466,17664,2587,43895,1936,47611,50736,4254,1863,47597,43562,20650,60716,1646,20487,53,1464,623,572,642,19255,41899,3488,25438,142,204,532,1498,13359,42707,620,32061,2009,1280,3983,5263,8509,40308,16413,15386,14876,2370,6751,45121,8450,1642,1948,263,43,7298,139,291,89,380,48,62,110,60,21,81,18,728
